Product Name,Price,Purchase Quantity,Purchase Unit,Serving Size,Serving Unit,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g)
"Quest Nutrition Chocolate Chip Dough Cookie Protein Bars, 21g Protein, 1g Sugar, 4g Net Carb, Gluten Free, Keto Friendy, 12 Count",28.99,540.00,g,45.00,g,350.00,33.33,40.00,13.33,25.00,3.33
Amazon Fresh Brand Cooked Extra Large Peeled Shrimp,25.08,907.18,g,84.00,g,83.00,17.86,0.00,0.60,0.00,0.00
Dunkin' Original Blend Medium Roast Ground Coffee,20.99,566.99,g,1.00,g,0.00,0.00,0.00,0.00,0.00,0.00
"Amazon Grocery, Ground Beef, 80% Lean/20% Fat, 3 lb (Pack of 3) (Previously Fresh Brand, Packaging May Vary)",17.99,1360.78,g,4.00,g,254.00,17.17,0.00,20.00,0.00,0.00
Extra Virgin Mediterranean Olive Oil,15.49,479.11,g,15.00,ml,800.00,0.00,0.00,93.33,0.00,0.00
Fast Twitch Energy Drink from Gatorade Orange,14.99,1247.38,g,1.00,g,110.00,0.00,27.00,0.00,0.00,26.00
Larabar Peanut Butter Chocolate Chip,14.29,547.15,g,30.00,g,500.00,13.33,50.00,26.67,10.00,33.33
Amazon Brand - Happy Belly California Almonds,13.99,453.59,g,30.00,g,579.00,21.15,21.55,49.93,12.50,4.35
Larabar Chocolate Chip Cookie Dough,13.79,324.00,g,27.00,g,441.34,5.46,62.15,19.80,5.52,38.89
365 by Whole Foods Market Hometown Blend Coffee,13.49,340.19,g,1.00,g,2.00,0.28,0.00,0.05,0.00,0.00
Jimmy Dean Sausage Egg and Cheese Croissant,13.29,440.00,g,55.00,g,362.00,9.28,18.13,28.06,1.50,0.37
PLANTERS Deluxe Salted Mixed Nuts,11.99,432.33,g,28.00,g,607.00,21.43,21.43,53.57,10.70,3.57
365 by Whole Foods Market Organic Cream,11.49,453.59,g,30.00,g,300.00,3.33,10.00,30.00,0.00,10.00
Amazon Fresh Creamy Almond Butter,10.79,453.59,g,1.00,g,641.00,20.70,21.10,52.70,9.60,4.40
Protein Bar 17.6 Ounce,9.99,283.50,g,60.00,g,350.00,33.33,40.00,13.33,25.00,3.33
Amazon Brand - Happy Belly Pecan Halves,9.99,283.50,g,30.00,g,691.00,9.17,13.86,71.97,9.60,3.97
Verde Farms Ground Beef 80% Lean/20% Fat,9.49,453.59,g,112.00,g,312.00,15.18,0.00,26.79,0.00,0.00
Amazon Brand - Happy Belly Dried Cranberries,9.09,340.19,g,355.00,ml,25.00,0.00,6.76,0.00,0.00,3.94
365 by Whole Foods Market Blueberry Organic,8.99,283.50,g,15.00,g,333.00,0.00,13.33,33.33,0.00,6.67
365 by Whole Foods Market Berry Blend Organic,8.99,283.50,g,18.00,g,333.00,0.00,77.78,0.00,5.60,55.56
Amazon Fresh Cage Free Brown Eggs Grade A,8.69,672.00,g,56.00,g,125.00,10.71,0.00,8.93,0.00,0.00
Hillshire Farm Ultra Thin Deli Sliced Turkey Breast,8.69,453.59,g,56.00,g,96.22,15.41,4.19,1.98,0.23,1.52
Home Run Inn 12' Classic Cheese Pizza,8.49,779.61,g,149.00,g,262.00,11.41,21.48,14.09,3.40,1.34
Home Run Inn Pizza Sausage,8.49,850.49,g,149.00,g,262.00,11.41,21.48,14.09,3.40,1.34
Atkins Chocolate Almond Caramel Bar,8.49,240.97,g,48.00,g,396.00,31.25,35.42,18.75,22.90,2.08
Amazon Fresh Cage Free Large White Eggs,8.29,600.00,g,50.00,g,140.00,12.00,0.00,10.00,0.00,0.00
"Lemon, 1 Each",7.99,517.09,g,1.00,g,29.00,1.10,9.32,0.30,2.80,2.50
Oikos Pro Vanilla Yogurt,7.69,907.18,g,1.00,g,127.00,3.00,21.60,3.60,0.00,19.90
Just Bare® Natural Fresh Chicken Breast Fillets | No Antibiotics Ever | Boneless | Skinless | 1.125 LB,7.49,510.29,g,112.00,g,107.00,23.21,0.00,1.34,0.00,0.00
SUNSWEET Amazin Pitted Prunes,7.29,453.59,g,40.00,g,250.00,2.50,65.00,0.00,7.50,37.50
365 by Whole Foods Market Organic Cream,7.29,453.59,g,30.00,g,300.00,3.33,10.00,30.00,0.00,10.00
FAGE Total Greek Yogurt 0% Nonfat Plain,6.99,907.18,g,227.00,g,57.00,10.13,3.96,0.00,0.00,3.96
Just Bare® Natural Fresh Chicken Thighs | Family Pack | No Antibiotics Ever | Bone-In | 2.25 LB,6.86,1020.58,g,84.00,g,239.00,24.42,0.00,15.66,0.00,0.00
IQBAR Chocolate Sea Salt,6.79,181.44,g,45.00,g,400.00,26.67,24.44,31.11,17.80,2.22
Pepperoni Pizza,6.69,481.94,g,135.00,g,267.00,11.11,25.93,13.33,1.50,2.22
Kellogg's Special K Protein Breakfast Cereal,6.69,496.12,g,59.00,g,360.00,26.10,65.50,2.40,8.00,13.70
Oikos Triple Zero Vanilla Nonfat Greek Yogurt,6.49,907.18,g,150.00,g,80.00,10.00,9.33,0.00,4.00,4.00
Red Baron Classic Pepperoni Pizza,6.39,584.00,g,137.00,g,248.00,10.22,32.85,8.76,1.50,5.84
Red Baron Classic Supreme Pizza,6.39,664.80,g,154.00,g,247.00,10.39,27.27,11.04,1.30,5.19
Red Baron Classic Four Cheese Pizza,6.39,597.04,g,135.00,g,244.00,11.11,31.11,8.89,1.50,5.93
Amazon Fresh Applewood Smoked Turkey,6.39,340.19,g,56.00,g,107.00,17.86,1.79,1.79,0.00,0.00
Amazon Brand - Happy Belly Red Raspberries,6.29,340.19,g,355.00,ml,25.00,0.00,6.76,0.00,0.00,3.94
Athenos Chunk Traditional Feta Cheese,6.29,226.80,g,28.00,g,321.00,21.43,3.57,25.00,0.00,0.00
365 by Whole Foods Market Organic White Rice,5.99,907.18,g,50.00,g,360.00,6.00,80.00,0.00,2.00,0.00
Sir Kensington's Everything Sauce Garlic,5.99,235.30,g,1.00,g,683.00,1.43,2.87,74.00,0.30,0.62
Breaded Chicken Breast Strips,5.99,1133.98,g,62.00,g,226.00,16.13,17.74,9.68,1.60,0.00
Activia Probiotic Dailies Strawberry and Blueberry,5.79,680.39,g,93.00,ml,59.00,10.19,6.77,0.00,0.00,6.77
Jif Natural Creamy Peanut Butter,5.79,793.79,g,43.00,g,581.00,20.93,25.58,51.16,7.00,9.30
Amazon Fresh Brand Organic Honeycrisp Apples,5.69,907.18,g,154.00,g,52.00,0.26,13.81,0.17,2.40,10.39
Amazon Fresh Organic Black Chia Seeds,5.69,566.99,g,12.00,g,500.00,25.00,33.33,33.33,33.30,0.00
Almond Breeze Unsweetened Original,5.49,1814.37,g,1.00,g,29.00,1.01,1.04,2.50,0.50,0.00
Silk Almond Milk Unsweet Vanilla,5.49,1814.37,g,1.00,g,133.00,0.00,20.00,6.67,0.00,20.00
Tombstone Original Crust Pizza 5 Cheese,5.39,547.15,g,153.00,g,229.00,10.46,22.88,10.46,1.30,2.61
365 by Whole Foods Market Organic Extra Virgin Olive Oil,5.39,479.11,g,15.00,ml,800.00,0.00,0.00,93.33,0.00,0.00
Brownberry Whole Wheat Bread,5.29,680.39,g,1.00,g,247.00,10.51,46.70,3.32,6.80,5.57
El Monterey Beef and Bean Burritos,5.29,907.18,g,1.00,g,239.00,7.26,30.84,9.61,4.20,0.70
Brownberry Oatnut Bread,5.29,680.39,g,38.00,g,265.00,8.40,48.30,4.40,3.00,6.30
365 by Whole Foods Market Organic Concord Grapes,5.29,680.39,g,15.00,g,69.00,0.72,18.10,0.16,0.90,15.48
Roland Foods Sriracha Chili Sauce,5.29,481.94,g,5.00,g,15.00,0.70,3.00,0.00,0.70,1.50
Happy Belly Protein Chewy Bars,5.29,538.64,g,30.00,g,533.00,10.00,53.33,40.00,6.70,23.33
Honeydew Melon,5.29,1678.29,g,4.50,g,333.00,0.00,88.89,0.00,0.00,66.67
365 by Whole Foods Market Brown Large Eggs,4.99,552.00,g,46.00,g,54.00,10.87,0.00,0.00,0.00,0.00
365 by Whole Foods Market Organic Raisins,4.99,566.99,g,40.00,g,300.00,2.50,80.00,0.00,2.50,60.00
Mandarin Clementines 3 Lb Bag,4.99,1360.78,g,140.00,mg,57.00,0.71,13.57,0.00,2.10,10.71
Happy Belly Frozen Chopped Vegetables,4.99,481.94,g,30.00,g,533.00,10.00,53.33,40.00,6.70,23.33
Fairlife 2% Reduced Fat Ultra Filtered Milk,4.99,1474.17,g,240.00,ml,50.00,5.42,2.50,1.88,0.00,2.50
365 by Whole Foods Market Pitted Prunes,4.99,340.19,g,40.00,g,275.00,2.50,65.00,0.00,5.00,32.50
365 by Whole Foods Market Organic Granola,4.99,340.19,g,15.00,g,489.00,10.41,63.91,22.68,7.20,24.96
365 by Whole Foods Market Organic Extra Virgin Olive Oil,4.99,479.11,g,15.00,ml,800.00,0.00,0.00,93.33,0.00,0.00
Terra Plantains Real Sea Salt Vegetable Chips,4.79,141.75,g,28.00,g,500.00,3.57,64.29,28.57,7.10,3.57
365 by Whole Foods Market Pitted Dates,4.69,340.19,g,15.00,g,277.00,1.81,74.97,0.15,6.70,66.47
Jack's Original Thin Crust Sausage and Pepperoni Pizza,4.69,433.75,g,146.00,g,267.00,10.96,26.71,13.70,2.10,2.05
Fresh Produce Bundle,4.69,1065.94,g,2.00,g,25.00,1.50,5.00,0.20,2.00,2.00
Amazon Fresh Supreme Rising Crust Pizza,4.59,870.33,g,148.00,g,230.00,9.46,28.38,8.78,1.40,3.38
Amazon Brand - Happy Belly Dark Sweet Cherries,4.59,340.19,g,355.00,ml,25.00,0.00,6.76,0.00,0.00,3.94
Amazon Fresh Rising Crust Pepperoni Pizza,4.59,839.15,g,134.00,g,239.00,8.96,31.34,8.96,1.50,3.73
365 by Whole Foods Market Organic Cream,4.59,226.80,g,30.00,g,300.00,3.33,10.00,30.00,0.00,10.00
Amazon Fresh Rising Crust Four Cheese Pizza,4.59,799.46,g,133.00,g,241.00,11.28,31.58,25.56,1.50,3.76
ICE BREAKERS Ice Cubes Spearmint,4.49,40.00,count,1.00,count,217.00,0.00,86.96,0.00,0.00,0.00
Amazon Grocery Chicken Breast Tenderloins,4.49,303.91,g,112.00,g,107.00,22.32,0.00,1.34,0.00,0.00
Amazon Fresh Classic Crust 4 Cheese,4.49,467.77,g,1.00,g,331.00,21.13,2.46,24.65,0.00,0.00
Amazon Brand - Happy Belly Whole Blackberries,4.49,340.19,g,355.00,ml,25.00,0.00,6.76,0.00,0.00,3.94
Sweet Potatoes 3 lb,4.39,1360.78,g,85.00,g,82.00,1.18,20.00,0.00,3.50,4.71
365 by Whole Foods Market Organic Cream,4.39,374.21,g,30.00,g,300.00,3.33,10.00,30.00,0.00,10.00
Amazon Grocery Chicken Breast Fillets Value Pack,4.33,453.59,g,284.00,g,165.00,20.42,1.06,8.10,0.00,0.70
365 by Whole Foods Market Brown Large Eggs,4.29,552.00,g,46.00,g,54.00,10.87,0.00,0.00,0.00,0.00
Dole 100% Pineapple Juice,4.29,1304.08,g,240.00,ml,54.00,0.42,12.50,0.00,0.00,10.83
Amazon Fresh Creamy Peanut Butter,4.19,453.59,g,1.00,g,598.00,22.20,22.30,51.40,5.00,10.50
Natural Mineral Water,4.19,74.56,g,240.00,ml,0.00,0.00,0.00,0.00,0.00,0.00
365 by Whole Foods Market Coconut Milk Unsweetened,4.19,907.18,g,62.00,g,161.00,8.06,3.23,12.90,0.00,3.23
365 by Whole Foods Market Cottage Cheese,3.99,453.59,g,62.00,g,161.00,8.06,3.23,12.90,0.00,3.23
365 by Whole Foods Market Organic Cauliflower,3.99,453.59,g,15.00,g,25.00,1.92,4.97,0.28,2.00,1.91
365 by Whole Foods Market Organic Broccoli,3.99,453.59,g,85.00,g,35.00,2.35,7.06,0.00,3.50,1.18
Ball Park Hot Dog Buns,3.99,396.89,g,113.00,g,280.00,7.00,52.00,4.00,2.00,6.00
Pasta 16 Oz,3.99,453.59,g,1.00,g,125.00,5.86,19.20,2.58,1.60,2.44
365 by Whole Foods Market Sun Dried Tomatoes,3.99,85.05,g,245.00,g,258.00,14.11,55.76,2.97,12.30,37.59
Fresh Blueberries 1 Pint,3.99,340.19,g,473.00,ml,57.00,0.74,14.49,0.33,2.40,9.96
EPIC PROVISIONS Himalayan Sea Salt Bar,3.99,70.87,g,37.00,g,353.50,28.38,9.18,23.41,6.87,0.69
bakerly Hand Braided Brioche,3.99,479.11,g,50.00,g,380.00,8.00,52.00,16.00,2.00,14.00
Amazon Fresh Cage Free Large Brown Eggs,3.89,672.00,g,56.00,g,125.00,10.71,0.00,8.93,0.00,0.00
Quaker Rice Cakes Lightly Salted,3.79,126.72,g,30.00,g,400.00,6.67,83.33,3.33,3.30,0.00
Dash Salt-Free Seasoning Blend Original,3.79,70.87,g,1.00,g,0.00,0.00,142.86,0.00,0.00,0.00
Amazon Fresh Greek Nonfat Plain Yogurt,3.79,907.18,g,150.00,g,53.00,10.00,4.00,0.00,0.70,3.33
Amazon Fresh Brand Organic Gala Apples,3.79,907.18,g,154.00,g,52.00,0.26,13.81,0.17,2.40,10.39
Amazon Brand - Happy Belly Sliced Peaches,3.79,453.59,g,355.00,ml,25.00,0.00,6.76,0.00,0.00,3.94
Ball Park Classic Hot Dogs,3.79,425.24,g,113.00,g,300.00,11.00,5.00,26.00,0.00,0.00
La Preferida Black Beans,3.69,822.14,g,130.00,g,85.00,5.38,14.62,0.77,5.40,0.77
365 by Whole Foods Market Mushrooms,3.69,226.80,g,30.00,g,22.00,3.09,3.26,0.34,1.00,1.98
Crazy Richard's Natural Creamy Peanut Butter,3.69,453.59,g,1.00,g,598.00,22.20,22.30,51.40,5.00,10.50
Classico Vodka Sauce Pasta Sauce,3.59,680.39,g,124.00,g,113.00,2.42,8.87,7.26,2.40,4.84
Amazon Brand - Happy Belly Whole Blueberries,3.59,340.19,g,355.00,ml,25.00,0.00,6.76,0.00,0.00,3.94
Cherry Tomatoes,3.59,137.50,g,28.00,g,21.00,0.00,4.64,0.00,0.00,0.00
365 by Whole Foods Market Organic Green Beans,3.49,453.59,g,50.00,g,340.00,22.00,64.00,0.00,24.00,2.00
Red Raspberries,3.49,170.10,g,140.00,g,43.00,1.43,10.00,0.00,2.90,5.00
365 by Whole Foods Market Almond Milk Unsweetened,3.49,1814.37,g,62.00,g,161.00,8.06,3.23,12.90,0.00,3.23
365 Everyday Value Organic Red Potatoes,3.45,1360.78,g,1.00,g,0.00,0.00,0.00,0.00,0.00,0.00
Yellow Onion,3.39,510.29,g,148.00,g,30.00,0.68,7.43,0.00,2.00,6.08
Amazon Brand - Happy Belly Sliced Strawberries,3.39,453.59,g,355.00,ml,25.00,0.00,6.76,0.00,0.00,3.94
Honeydew Melon,3.37,128.99,g,4.50,g,333.00,0.00,88.89,0.00,0.00,66.67
Amazon Fresh Brand Russet Potatoes,3.29,2267.96,g,148.00,g,74.00,2.03,17.57,0.00,1.40,0.68
Blackberries,3.29,170.10,g,140.00,g,43.00,1.43,9.29,0.36,5.00,4.29
Cantaloupe Melon,3.29,1419.74,g,1.00,g,35.00,0.78,8.23,0.00,0.80,7.84
Morton Sea Salt Coarse,3.29,498.95,g,1.50,g,0.00,0.00,0.00,0.00,0.00,0.00
365 by Whole Foods Market Mixed Vegetables,3.19,453.59,g,85.00,g,29.00,1.18,7.06,0.00,2.40,3.53
365 by Whole Foods Market Green Peas,3.19,453.59,g,50.00,g,81.00,5.42,14.46,0.40,5.70,5.67
Organic Celery Hearts,3.19,453.59,g,110.00,g,18.00,0.91,4.55,0.00,1.80,0.00
365 by Whole Foods Market White Sweet Corn,3.19,453.59,g,28.00,g,464.00,7.14,71.43,16.07,7.10,0.00
365 by Whole Foods Market Green Olives,3.19,170.10,g,15.00,g,167.00,0.00,6.67,16.67,0.00,0.00
Sprite Zero 2 Liter,3.19,1916.43,g,360.00,ml,0.00,0.00,0.00,0.00,0.00,0.00
365 by Whole Foods Market Chopped Spinach,2.99,453.59,g,1.00,g,29.00,3.63,4.21,0.57,2.90,0.65
365 by Whole Foods Market Chopped Kale,2.99,453.59,g,100.00,g,49.00,4.28,8.75,0.93,3.60,2.26
Amazon Brand - Happy Belly Tropical Fruit Mix,2.99,453.59,g,30.00,g,76.00,0.44,19.92,0.05,1.00,18.85
365 by Whole Foods Market Organic Low Sodium Broth,2.99,907.18,g,240.00,ml,2.00,0.42,0.42,0.00,0.00,0.42
365 by Whole Foods Market Organic Chicken,2.99,907.18,g,240.00,ml,2.00,0.42,0.42,0.00,0.00,0.42
Taylor Farms Classic Garden Salad,2.99,340.19,g,284.00,g,176.00,4.58,11.62,12.32,2.10,2.82
Gatorlyte Rapid Rehydration Orange,2.99,566.99,g,591.00,ml,25.00,0.00,6.00,0.00,0.00,6.00
365 by Whole Foods Market Baby Spinach,2.99,170.10,g,1.00,g,23.00,2.86,3.63,0.39,2.20,0.42
Amazon Fresh Jasmine Long Grain Rice,2.89,907.18,g,45.00,g,356.00,6.67,80.00,0.00,0.00,0.00
Morton McCormick Iodized Salt & Pepper,2.69,148.83,g,0.16,g,0.00,0.00,0.00,0.00,0.00,0.00
Amazon Fresh Multigrain Sandwich Bread,2.69,680.39,g,37.00,g,265.00,10.00,43.00,4.20,6.80,5.00
Amazon Brand - Happy Belly Protein Chewy Bars,2.59,180.00,g,30.00,g,533.00,10.00,53.33,40.00,6.70,23.33
Mixed Nuts,2.59,283.50,g,30.00,g,633.00,16.67,16.67,60.00,10.00,3.33
Amazon Brand - Happy Belly Protein Chewy Bars,2.59,180.00,g,30.00,g,533.00,10.00,53.33,40.00,6.70,23.33
Beef Broth,2.59,907.18,g,245.00,g,4.00,0.82,0.41,0.00,0.00,0.00
Lindt EXCELLENCE 70% Dark Chocolate,2.58,99.22,g,30.00,g,598.00,7.79,45.90,42.63,10.90,24.00
Lindt EXCELLENCE 90% Dark Chocolate,2.58,99.22,g,40.00,g,598.00,12.02,45.90,46.28,15.50,5.00
Lindt Excellence Sea Salt Bar,2.58,99.22,g,47.00,g,415.00,21.28,61.70,9.57,6.40,23.40
Goya Pinto Beans Dry,2.49,453.59,g,1.00,g,347.00,21.42,62.55,1.23,15.50,2.11
Amazon Fresh Brand Original Unsweetened Almond Milk,2.49,1814.37,g,1.00,g,29.00,1.01,1.04,2.50,0.50,0.00
Amazon Fresh Steamable Butternut Squash,2.39,340.19,g,95.00,g,53.00,2.11,14.74,0.00,1.10,3.16
Amazon Brand - Happy Belly Swiss Cheese Block,2.39,226.80,g,1.00,g,331.00,21.13,2.46,24.65,0.00,0.00
S.Pellegrino Sparkling Natural Mineral Water,2.39,958.21,g,240.00,ml,0.00,0.00,0.00,0.00,0.00,0.00
SAN PELLEGRINO Sparkling Mineral Water,2.39,958.21,g,750.00,ml,0.00,0.00,0.00,0.00,0.00,0.00
Goya Adobo All Purpose Seasoning,2.29,226.80,g,1.00,g,0.00,0.00,0.00,0.00,0.00,0.00
Amazon Kitchen Peanut Butter & Chocolate Chip Cookie,2.29,3.00,count,1.00,count,598.00,22.20,22.30,51.40,5.00,10.50
Amazon Fresh Small Curd Cottage Cheese,2.29,453.59,g,113.00,mg,106.00,10.62,4.42,4.42,0.00,3.54
Maruchan Ramen Noodles Chicken Flavor,2.19,510.29,g,56.00,g,107.00,21.43,0.00,1.79,0.00,0.00
Amazon Brand - Happy Belly Chopped Spinach,1.99,453.59,g,0.50,g,29.00,3.63,4.21,0.57,2.90,0.65
Amazon Brand - Happy Belly Frozen Edamame,1.99,453.59,g,355.00,ml,25.00,0.00,6.76,0.00,0.00,3.94
Amazon Brand - Happy Belly Frozen Chopped Vegetables,1.99,453.59,g,30.00,g,81.00,4.24,18.48,0.22,4.00,2.93
Fresh Celery,1.99,589.67,g,1.00,g,16.00,0.69,3.35,0.17,1.60,1.83
365 by Whole Foods Market Organic Angel Hair Pasta,1.99,453.59,g,100.00,g,371.00,13.04,74.67,1.51,3.20,2.65
Amazon Fresh Chili Sauce,1.99,340.19,g,240.00,ml,52.00,0.83,11.25,1.46,1.70,8.75
365 by Whole Foods Market Organic Raisins,1.89,263.08,g,40.00,g,300.00,2.50,80.00,0.00,2.50,60.00
Canada Dry Club Soda,1.89,958.21,g,1.00,g,0.00,0.00,0.00,0.00,0.00,0.00
Navel Orange,1.79,1.75,count,154.00,g,52.00,0.65,12.34,0.00,1.90,9.09
StarKist Tuna Creations Lemon Pepper,1.79,73.71,g,56.00,g,107.00,23.21,1.79,0.89,0.00,0.00
Amazon Brand - Happy Belly Frozen California Blend,1.59,453.59,g,30.00,g,81.00,4.24,18.48,0.22,4.00,2.93
Amazon Brand - Happy Belly Frozen Cauliflower,1.59,453.59,g,355.00,ml,24.00,1.84,4.68,0.45,2.50,2.00
Amazon Brand - Happy Belly Frozen Broccoli,1.59,453.59,g,30.00,g,28.00,2.81,5.84,0.34,2.60,1.10
365 by Whole Foods Market Organic Carrots,1.49,453.59,g,15.00,g,41.00,0.93,9.58,0.24,2.80,4.74
Medium Hass Avocado,1.49,184.27,g,30.00,ml,83.00,0.00,3.33,8.33,0.00,3.33
365 by Whole Foods Market Organic Black Beans,1.49,425.24,g,50.00,g,340.00,22.00,64.00,0.00,24.00,2.00
Amazon Fresh Beef Broth,1.49,907.18,g,1.00,g,17.00,2.55,0.85,0.43,0.00,0.00
Amazon Brand - Happy Belly Mixed Vegetables,1.39,453.59,g,30.00,g,81.00,4.24,18.48,0.22,4.00,2.93
Amazon Brand - Happy Belly Green Peas,1.39,453.59,g,355.00,ml,77.00,5.01,13.72,0.40,4.40,4.99
Amazon Brand - Happy Belly Frozen Green Beans,1.39,453.59,g,355.00,ml,31.00,1.51,6.97,0.22,2.70,2.26
Green Cabbage,1.19,0.54,count,85.00,g,24.00,1.18,5.88,0.00,2.40,3.53
Amazon Fresh Great Northern Beans,0.89,439.42,g,35.00,g,114.00,8.23,20.13,0.38,6.40,0.76
Cucumber,0.79,317.51,g,1.00,g,15.00,0.65,3.63,0.11,0.50,1.67
Banana Bunch,0.49,263.08,g,29.00,g,414.00,6.90,79.31,5.17,3.40,17.24
Lime,0.39,90.72,g,1.00,g,25.00,0.42,8.42,0.07,0.40,1.69
